,Survived,Pclass,SibSp,Parch,Embarked,Title,Age_true,AgeGroup,FareGroup,CabinLvl
0,0,3,1,0,S,Mr,True,Young Adults,Very Cheap,XX
1,1,1,1,0,C,Mrs,True,Middle-aged,Expensive,C
2,1,3,0,0,S,Ms,True,Adults,Cheap,XX
3,1,1,1,0,S,Mrs,True,Middle-aged,Expensive,C
4,0,3,0,0,S,Mr,True,Middle-aged,Cheap,XX
5,0,3,0,0,Q,Mr,False,Adults,Cheap,XX
6,0,1,0,0,S,Mr,True,Seniors,Expensive,E
7,0,3,3,1,S,Master,True,Kids,Normal,XX
8,1,3,0,2,S,Mrs,True,Adults,Normal,XX
9,1,2,1,0,C,Mrs,True,Teenagers,Average,XX
10,1,3,1,1,S,Ms,True,Kids,Normal,G
11,1,1,0,0,S,Ms,True,Seniors,Average,C
12,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
13,0,3,1,5,S,Mr,True,Middle-aged,Average,XX
14,0,3,0,0,S,Ms,True,Teenagers,Cheap,XX
15,1,2,0,0,S,Mrs,True,Seniors,Normal,XX
16,0,3,4,1,Q,Master,True,Kids,Average,XX
17,1,2,0,0,S,Mr,False,Adults,Normal,XX
18,0,3,1,0,S,Mrs,True,Adults,Normal,XX
19,1,3,0,0,C,Mrs,False,Middle-aged,Very Cheap,XX
20,0,2,0,0,S,Mr,True,Middle-aged,Average,XX
21,1,2,0,0,S,Mr,True,Adults,Normal,D
22,1,3,0,0,Q,Ms,True,Teenagers,Cheap,XX
23,1,1,0,0,S,Mr,True,Adults,Average,A
24,0,3,3,1,S,Ms,True,Kids,Normal,XX
25,1,3,1,5,S,Mrs,True,Middle-aged,Average,XX
26,0,3,0,0,C,Mr,False,Adults,Very Cheap,XX
27,0,1,3,2,S,Mr,True,Young Adults,Very Expensive,C
28,1,3,0,0,Q,Ms,False,Young Adults,Cheap,XX
29,0,3,0,0,S,Mr,False,Adults,Cheap,XX
30,0,1,0,0,C,Noble,True,Middle-aged,Average,XX
31,1,1,1,0,C,Mrs,False,Middle-aged,Very Expensive,B
32,1,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
33,0,2,0,0,S,Mr,True,Seniors,Cheap,XX
34,0,1,1,0,C,Mr,True,Adults,Expensive,XX
35,0,1,1,0,S,Mr,True,Middle-aged,Expensive,XX
36,1,3,0,0,C,Mr,False,Adults,Very Cheap,XX
37,0,3,0,0,S,Mr,True,Young Adults,Cheap,XX
38,0,3,2,0,S,Ms,True,Young Adults,Normal,XX
39,1,3,1,0,C,Ms,True,Teenagers,Normal,XX
40,0,3,1,0,S,Mrs,True,Middle-aged,Cheap,XX
41,0,2,1,0,S,Mrs,True,Adults,Normal,XX
42,0,3,0,0,C,Mr,False,Adults,Cheap,XX
43,1,2,1,2,C,Ms,True,Kids,Expensive,XX
44,1,3,0,0,Q,Ms,True,Young Adults,Cheap,XX
45,0,3,0,0,S,Mr,False,Adults,Cheap,XX
46,0,3,1,0,Q,Mr,False,Adults,Normal,XX
47,1,3,0,0,Q,Ms,False,Young Adults,Very Cheap,XX
48,0,3,2,0,C,Mr,False,Adults,Normal,XX
49,0,3,1,0,S,Mrs,True,Young Adults,Normal,XX
50,0,3,4,1,S,Master,True,Kids,Average,XX
51,0,3,0,0,S,Mr,True,Young Adults,Very Cheap,XX
52,1,1,1,0,C,Mrs,True,Middle-aged,Expensive,D
53,1,2,1,0,S,Mrs,True,Adults,Average,XX
54,0,1,0,1,C,Mr,True,Seniors,Expensive,B
55,1,1,0,0,S,Mr,False,Adults,Average,C
56,1,2,0,0,S,Ms,True,Young Adults,Cheap,XX
57,0,3,0,0,C,Mr,False,Adults,Very Cheap,XX
