,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Age_true,AgeGroup,Familysize,Ticketsize,FareGroup,CabinLvl
0,0,3,male,22.0,1,0,7.25,S,Mr,True,Young Adults,1,1,Very Cheap,XX
1,1,1,female,38.0,1,0,71.2833,C,Mrs,True,Middle-aged,1,1,Expensive,C
2,1,3,female,26.0,0,0,7.925,S,Ms,True,Adults,0,1,Cheap,XX
3,1,1,female,35.0,1,0,53.1,S,Mrs,True,Middle-aged,1,2,Expensive,C
4,0,3,male,35.0,0,0,8.05,S,Mr,True,Middle-aged,0,1,Cheap,XX
5,0,3,male,32.0,0,0,8.4583,Q,Mr,False,Adults,0,1,Cheap,XX
6,0,1,male,54.0,0,0,51.8625,S,Mr,True,Seniors,0,1,Expensive,E
7,0,3,male,2.0,3,1,21.075,S,Master,True,Kids,4,4,Normal,XX
8,1,3,female,27.0,0,2,11.1333,S,Mrs,True,Adults,2,3,Normal,XX
9,1,2,female,14.0,1,0,30.0708,C,Mrs,True,Teenagers,1,2,Average,XX
10,1,3,female,4.0,1,1,16.7,S,Ms,True,Kids,2,2,Normal,G
11,1,1,female,58.0,0,0,26.55,S,Ms,True,Seniors,0,1,Average,C
12,0,3,male,20.0,0,0,8.05,S,Mr,True,Young Adults,0,1,Cheap,XX
13,0,3,male,39.0,1,5,31.275,S,Mr,True,Middle-aged,6,7,Average,XX
14,0,3,female,14.0,0,0,7.8542,S,Ms,True,Teenagers,0,1,Cheap,XX
15,1,2,female,55.0,0,0,16.0,S,Mrs,True,Seniors,0,1,Normal,XX
16,0,3,male,2.0,4,1,29.125,Q,Master,True,Kids,5,5,Average,XX
17,1,2,male,32.0,0,0,13.0,S,Mr,False,Adults,0,1,Normal,XX
18,0,3,female,31.0,1,0,18.0,S,Mrs,True,Adults,1,1,Normal,XX
19,1,3,female,35.0,0,0,7.225,C,Mrs,False,Middle-aged,0,1,Very Cheap,XX
20,0,2,male,35.0,0,0,26.0,S,Mr,True,Middle-aged,0,2,Average,XX
21,1,2,male,34.0,0,0,13.0,S,Mr,True,Adults,0,1,Normal,D
22,1,3,female,15.0,0,0,8.0292,Q,Ms,True,Teenagers,0,1,Cheap,XX
23,1,1,male,28.0,0,0,35.5,S,Mr,True,Adults,0,1,Average,A
24,0,3,female,8.0,3,1,21.075,S,Ms,True,Kids,4,4,Normal,XX
25,1,3,female,38.0,1,5,31.3875,S,Mrs,True,Middle-aged,6,4,Average,XX
26,0,3,male,32.0,0,0,7.225,C,Mr,False,Adults,0,1,Very Cheap,XX
27,0,1,male,19.0,3,2,263.0,S,Mr,True,Young Adults,5,4,Very Expensive,C
28,1,3,female,22.0,0,0,7.8792,Q,Ms,False,Young Adults,0,1,Cheap,XX
29,0,3,male,32.0,0,0,7.8958,S,Mr,False,Adults,0,1,Cheap,XX
30,0,1,male,40.0,0,0,27.7208,C,Noble,True,Middle-aged,0,1,Average,XX
31,1,1,female,35.0,1,0,146.5208,C,Mrs,False,Middle-aged,1,2,Very Expensive,B
32,1,3,female,22.0,0,0,7.75,Q,Ms,False,Young Adults,0,1,Very Cheap,XX
33,0,2,male,66.0,0,0,10.5,S,Mr,True,Seniors,0,1,Cheap,XX
34,0,1,male,28.0,1,0,82.1708,C,Mr,True,Adults,1,2,Expensive,XX
35,0,1,male,42.0,1,0,52.0,S,Mr,True,Middle-aged,1,2,Expensive,XX
36,1,3,male,32.0,0,0,7.2292,C,Mr,False,Adults,0,1,Very Cheap,XX
37,0,3,male,21.0,0,0,8.05,S,Mr,True,Young Adults,0,1,Cheap,XX
38,0,3,female,18.0,2,0,18.0,S,Ms,True,Young Adults,2,2,Normal,XX
39,1,3,female,14.0,1,0,11.2417,C,Ms,True,Teenagers,1,2,Normal,XX
40,0,3,female,40.0,1,0,9.475,S,Mrs,True,Middle-aged,1,1,Cheap,XX
41,0,2,female,27.0,1,0,21.0,S,Mrs,True,Adults,1,2,Normal,XX
