,Pclass,SibSp,Parch,Age_true,AgeGroup,FareGroup,CabinLvl,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Mr,Title_Mrs,Title_Ms,Title_Noble,Survived
445,1,0,2,1,0,4,7,0,0,1,1,0,0,0,0,1
650,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0
172,3,1,1,1,0,2,0,0,0,1,0,0,0,1,0,1
450,2,1,2,1,4,3,0,0,0,1,0,1,0,0,0,0
314,2,1,1,1,4,3,0,0,0,1,0,1,0,0,0,0
332,1,0,1,1,4,5,5,0,0,1,0,1,0,0,0,0
801,2,1,1,1,3,3,0,0,0,1,0,0,1,0,0,1
90,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0
834,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
181,2,0,0,0,3,2,0,1,0,0,0,1,0,0,0,0
581,1,1,1,1,4,5,5,1,0,0,0,0,1,0,0,1
795,2,0,0,1,4,2,0,0,0,1,0,1,0,0,0,0
69,3,2,0,1,3,1,0,0,0,1,0,1,0,0,0,0
131,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
334,1,1,0,0,4,5,0,0,0,1,0,0,1,0,0,1
597,3,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0
135,2,0,0,1,2,2,0,1,0,0,0,1,0,0,0,0
164,3,4,1,1,0,3,0,0,0,1,1,0,0,0,0,0
28,3,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1
783,3,1,2,0,3,3,0,0,0,1,0,1,0,0,0,0
193,2,1,1,1,0,3,2,0,0,1,1,0,0,0,0,1
869,3,1,1,1,0,2,0,0,0,1,1,0,0,0,0,1
715,3,0,0,1,2,0,2,0,0,1,0,1,0,0,0,0
525,3,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0
381,3,0,2,1,0,2,0,1,0,0,0,0,0,1,0,1
140,3,0,2,0,4,2,0,1,0,0,0,0,1,0,0,0
173,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
6,1,0,0,1,5,4,3,0,0,1,0,1,0,0,0,0
718,3,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0
685,2,1,2,1,3,4,0,1,0,0,0,1,0,0,0,0
73,3,1,0,1,3,2,0,1,0,0,0,1,0,0,0,0
882,3,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0
328,3,1,1,1,3,2,0,0,0,1,0,0,1,0,0,1
453,1,1,0,1,4,4,5,1,0,0,0,1,0,0,0,1
145,2,1,1,1,2,3,0,0,0,1,0,1,0,0,0,0
234,2,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
220,3,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
370,1,1,0,1,3,4,3,1,0,0,0,1,0,0,0,1
811,3,0,0,1,4,3,0,0,0,1,0,1,0,0,0,0
132,3,1,0,1,4,2,0,0,0,1,0,0,1,0,0,0
694,1,0,0,1,5,3,0,0,0,1,0,0,0,0,1,0
864,2,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0
185,1,0,0,0,3,4,7,0,0,1,0,1,0,0,0,0
41,2,1,0,1,3,2,0,0,0,1,0,0,1,0,0,0
547,2,0,0,0,3,2,0,1,0,0,0,1,0,0,0,1
108,3,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0
603,3,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0
56,2,0,0,1,2,1,0,0,0,1,0,0,0,1,0,1
394,3,0,2,1,2,2,1,0,0,1,0,0,1,0,0,1
706,2,0,0,1,4,2,0,0,0,1,0,0,1,0,0,1
549,2,1,1,1,0,3,0,0,0,1,1,0,0,0,0,1
24,3,3,1,1,0,2,0,0,0,1,0,0,0,1,0,0
351,1,0,0,0,3,3,5,0,0,1,0,1,0,0,0,0
429,3,0,0,1,3,1,3,0,0,1,0,1,0,0,0,1
434,1,1,0,1,5,4,3,0,0,1,0,1,0,0,0,0
51,3,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0
526,2,0,0,1,5,1,0,0,0,1,0,0,0,1,0,1
816,3,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0
569,3,0,0,1,3,1,0,0,0,1,0,1,0,0,0,1
264,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
436,3,2,2,1,2,3,0,0,0,1,0,0,0,1,0,0
613,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
693,3,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0
352,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
18,3,1,0,1,3,2,0,0,0,1,0,0,1,0,0,0
666,2,0,0,1,3,2,0,0,0,1,0,1,0,0,0,0
582,2,0,0,1,5,3,0,0,0,1,0,1,0,0,0,0
83,1,0,0,1,3,4,0,0,0,1,0,1,0,0,0,0
61,1,0,0,1,4,4,6,0,0,1,0,0,0,1,0,1
272,2,0,1,1,4,2,0,0,0,1,0,0,1,0,0,1
285,3,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0
695,2,0,0,1,5,2,0,0,0,1,0,1,0,0,0,0
746,3,1,1,1,1,2,0,0,0,1,0,1,0,0,0,0
12,3,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0
