,Pclass,Sex,Age,SibSp,Parch,Fare,Age_true,AgeGroup,Familysize,Ticketsize,FareGroup,CabinLvl,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Mr,Title_Mrs,Title_Ms,Title_Noble,Survived
445,1,1.0,4.0,0,2,81.8583,1.0,0.0,2,1,4.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
650,3,1.0,32.0,0,0,7.8958,0.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
172,3,0.0,1.0,1,1,11.1333,1.0,0.0,2,3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
450,2,1.0,36.0,1,2,27.75,1.0,4.0,3,3,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
314,2,1.0,43.0,1,1,26.25,1.0,4.0,2,3,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
332,1,1.0,38.0,0,1,153.4625,1.0,4.0,1,3,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
801,2,0.0,31.0,1,1,26.25,1.0,3.0,2,3,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
90,3,1.0,29.0,0,0,8.05,1.0,3.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
834,3,1.0,18.0,0,0,8.3,1.0,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
181,2,1.0,32.0,0,0,15.05,0.0,3.0,0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
581,1,0.0,39.0,1,1,110.8833,1.0,4.0,2,4,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
795,2,1.0,39.0,0,0,13.0,1.0,4.0,0,1,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
69,3,1.0,26.0,2,0,8.6625,1.0,3.0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
131,3,1.0,20.0,0,0,7.05,1.0,2.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
334,1,0.0,35.0,1,0,133.65,0.0,4.0,1,2,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
597,3,1.0,49.0,0,0,0.0,1.0,4.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
135,2,1.0,23.0,0,0,15.0458,1.0,2.0,0,1,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
164,3,1.0,1.0,4,1,39.6875,1.0,0.0,5,6,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
28,3,0.0,22.0,0,0,7.8792,0.0,2.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
783,3,1.0,32.0,1,2,23.45,0.0,3.0,3,2,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
193,2,1.0,3.0,1,1,26.0,1.0,0.0,2,3,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
869,3,1.0,4.0,1,1,11.1333,1.0,0.0,2,3,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
715,3,1.0,19.0,0,0,7.65,1.0,2.0,0,1,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
525,3,1.0,40.0,0,0,7.75,0.0,4.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
381,3,0.0,1.0,0,2,15.7417,1.0,0.0,2,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
140,3,0.0,35.0,0,2,15.2458,0.0,4.0,2,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
173,3,1.0,21.0,0,0,7.925,1.0,2.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
6,1,1.0,54.0,0,0,51.8625,1.0,5.0,0,1,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
718,3,1.0,32.0,0,0,15.5,0.0,3.0,0,1,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
685,2,1.0,25.0,1,2,41.5792,1.0,3.0,3,3,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
