,param_max_depth,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_learning_rate,param_n_estimators,mean_test_score,rank_test_score
1302,2,0.7,0.5,0.4,0.15,100,0.850563236047107,1
1302,2,0.7,0.5,0.3,0.15,100,0.850563236047107,2
1976,5,0.6,0.6,0.2,0.15,100,0.8505376344086022,3
1976,5,0.6,0.6,0.1,0.15,100,0.8505376344086022,4
2419,2,0.9,0.9,0.2,0.1,250,0.8490015360983103,5
609,2,0.9,0.4,0.7,0.1,150,0.8490015360983103,6
2603,2,0.8,0.9,0.2,0.2,100,0.8489503328213006,7
2456,4,0.6,0.9,0.1,0.1,150,0.8489247311827957,8
1329,3,0.9,0.5,0.4,0.15,100,0.8473118279569892,9
1329,3,0.9,0.5,0.3,0.15,100,0.8473118279569892,10
1853,4,0.8,0.6,0.2,0.1,100,0.8473118279569892,11
1853,4,0.8,0.6,0.1,0.1,100,0.8473118279569892,12
603,2,0.8,0.4,0.6,0.1,100,0.8458269329237071,13
8,2,0.8,0.3,0.7,0.1,150,0.8458013312852023,14
8,2,0.8,0.3,0.6,0.1,150,0.8458013312852023,15
15,2,0.5,0.3,0.6,0.1,250,0.8458013312852023,16
15,2,0.5,0.3,0.7,0.1,250,0.8458013312852023,17
1951,4,0.6,0.6,0.1,0.15,100,0.8457757296466974,18
1951,4,0.6,0.6,0.2,0.15,100,0.8457757296466974,19
1850,4,0.5,0.6,0.2,0.1,100,0.8457757296466974,20
1801,2,0.6,0.6,0.2,0.1,100,0.8457757296466974,21
1328,3,0.8,0.5,0.1,0.15,100,0.8457757296466974,22
1850,4,0.5,0.6,0.1,0.1,100,0.8457757296466974,23
2475,5,0.5,0.9,0.1,0.1,100,0.8457757296466974,24
1300,2,0.5,0.5,0.4,0.15,100,0.8457757296466974,25
1328,3,0.8,0.5,0.2,0.15,100,0.8457757296466974,26
1801,2,0.6,0.6,0.1,0.1,100,0.8457757296466974,27
1300,2,0.5,0.5,0.3,0.15,100,0.8457757296466974,28
2508,2,0.8,0.9,0.1,0.15,150,0.8457757296466972,29
1802,2,0.7,0.6,0.2,0.1,100,0.8457757296466972,30
2000,2,0.5,0.6,0.3,0.2,100,0.8457757296466972,31
1819,2,0.9,0.6,0.4,0.1,250,0.8457757296466972,32
1802,2,0.7,0.6,0.1,0.1,100,0.8457757296466972,33
1302,2,0.7,0.5,0.7,0.15,100,0.8457501280081925,34
1314,2,0.9,0.5,0.4,0.15,200,0.8457501280081925,35
1916,2,0.6,0.6,0.2,0.15,250,0.8457501280081925,36
1302,2,0.7,0.5,0.6,0.15,100,0.8457501280081925,37
2002,2,0.7,0.6,0.1,0.2,100,0.8457501280081925,38
1916,2,0.6,0.6,0.1,0.15,250,0.8457501280081925,39
2002,2,0.7,0.6,0.2,0.2,100,0.8457501280081925,40
2128,3,0.8,0.6,0.1,0.25,100,0.8457501280081925,41
2128,3,0.8,0.6,0.2,0.25,100,0.8457501280081925,42
2228,3,0.8,0.6,0.2,0.3,100,0.8457501280081925,43
2400,2,0.5,0.9,0.3,0.1,100,0.8457501280081925,44
2702,2,0.7,0.9,0.1,0.25,100,0.8457501280081925,45
1278,5,0.8,0.5,0.2,0.1,100,0.8457501280081925,46
1278,5,0.8,0.5,0.1,0.1,100,0.8457501280081925,47
1314,2,0.9,0.5,0.3,0.15,200,0.8457501280081925,48
2408,2,0.8,0.9,0.4,0.1,150,0.8457501280081925,49
2228,3,0.8,0.6,0.1,0.3,100,0.8457501280081925,50
608,2,0.8,0.4,0.4,0.1,150,0.8457501280081925,51
1807,2,0.7,0.6,0.7,0.1,150,0.8457501280081925,52
2460,4,0.5,0.9,0.1,0.1,200,0.8457245263696878,53
1803,2,0.8,0.6,0.1,0.1,100,0.8457245263696876,54
1833,3,0.8,0.6,0.1,0.1,150,0.8457245263696876,55
2203,2,0.8,0.6,0.1,0.3,100,0.8457245263696876,56
2703,2,0.8,0.9,0.2,0.25,100,0.8457245263696876,57
620,2,0.5,0.4,0.2,0.1,300,0.8457245263696876,58
1863,4,0.8,0.6,0.1,0.1,200,0.8457245263696876,59
1803,2,0.8,0.6,0.2,0.1,100,0.8457245263696876,60
1833,3,0.8,0.6,0.2,0.1,150,0.8457245263696876,61
2411,2,0.6,0.9,0.3,0.1,200,0.8457245263696876,62
2420,2,0.5,0.9,0.1,0.1,300,0.8457245263696876,63
2423,2,0.8,0.9,0.1,0.1,300,0.8457245263696876,64
1863,4,0.8,0.6,0.2,0.1,200,0.8457245263696876,65
2203,2,0.8,0.6,0.2,0.3,100,0.8457245263696876,66
620,2,0.5,0.4,0.1,0.1,300,0.8457245263696876,67
1812,2,0.7,0.6,0.3,0.1,200,0.8457245263696876,68
620,2,0.5,0.4,0.3,0.1,300,0.8457245263696876,69
352,4,0.7,0.3,0.2,0.25,100,0.8456989247311828,70
352,4,0.7,0.3,0.1,0.25,100,0.8456989247311828,71
2432,3,0.7,0.9,0.1,0.1,150,0.8456989247311828,72
352,4,0.7,0.3,0.4,0.25,100,0.8456989247311828,73
352,4,0.7,0.3,0.3,0.25,100,0.8456989247311828,74
2660,4,0.5,0.9,0.1,0.2,200,0.845647721454173,75
745,3,0.5,0.4,0.2,0.15,300,0.845647721454173,76
745,3,0.5,0.4,0.1,0.15,300,0.845647721454173,77
745,3,0.5,0.4,0.3,0.15,300,0.845647721454173,78
1876,5,0.6,0.6,0.1,0.1,100,0.8442140296979007,79
102,2,0.7,0.3,0.6,0.15,100,0.8442140296979007,80
1210,2,0.5,0.5,0.3,0.1,200,0.8442140296979007,81
1876,5,0.6,0.6,0.2,0.1,100,0.8442140296979007,82
102,2,0.7,0.3,0.7,0.15,100,0.8442140296979007,83
1210,2,0.5,0.5,0.4,0.1,200,0.8442140296979007,84
1253,4,0.8,0.5,0.2,0.1,100,0.8442140296979005,85
1253,4,0.8,0.5,0.1,0.1,100,0.8442140296979005,86
1851,4,0.6,0.6,0.1,0.1,100,0.8441884280593959,87
614,2,0.9,0.4,0.2,0.1,200,0.8441884280593959,88
2450,4,0.5,0.9,0.1,0.1,100,0.8441884280593959,89
614,2,0.9,0.4,0.1,0.1,200,0.8441884280593959,90
1819,2,0.9,0.6,0.3,0.1,250,0.8441884280593959,91
613,2,0.8,0.4,0.1,0.1,200,0.8441884280593959,92
614,2,0.9,0.4,0.3,0.1,200,0.8441884280593959,93
613,2,0.8,0.4,0.2,0.1,200,0.8441884280593959,94
1851,4,0.6,0.6,0.2,0.1,100,0.8441884280593959,95
2413,2,0.8,0.9,0.1,0.1,200,0.8441884280593959,96
613,2,0.8,0.4,0.3,0.1,200,0.8441884280593959,97
108,2,0.8,0.3,0.6,0.15,150,0.8441884280593956,98
6,2,0.6,0.3,0.6,0.1,150,0.8441884280593956,99
715,2,0.5,0.4,0.1,0.15,250,0.8441884280593956,100
6,2,0.6,0.3,0.7,0.1,150,0.8441884280593956,101
715,2,0.5,0.4,0.3,0.15,250,0.8441884280593956,102
108,2,0.8,0.3,0.7,0.15,150,0.8441884280593956,103
715,2,0.5,0.4,0.2,0.15,250,0.8441884280593956,104
2410,2,0.5,0.9,0.2,0.1,200,0.844162826420891,105
2604,2,0.9,0.9,0.2,0.2,100,0.844162826420891,106
1211,2,0.6,0.5,0.4,0.1,200,0.8441628264208909,107
2103,2,0.8,0.6,0.1,0.25,100,0.8441628264208909,108
2102,2,0.7,0.6,0.2,0.25,100,0.8441628264208909,109
1911,2,0.6,0.6,0.1,0.15,200,0.8441628264208909,110
161,4,0.6,0.3,0.4,0.15,200,0.8441628264208909,111
