,param_max_depth,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_learning_rate,param_n_estimators,param_gamma,mean_test_score,rank_test_score
3603,4,0.9,0.4,0.4,0.15,30,1,0.856989247311828,1
2136,3,0.6,0.9,0.2,0.15,30,1,0.8522273425499233,2
2136,3,0.6,0.9,0.2,0.2,30,1,0.8522017409114184,3
3576,3,0.6,0.4,0.4,0.15,30,1,0.8522017409114182,4
3886,3,0.8,0.5,0.4,0.15,200,1,0.8521505376344086,5
4462,3,0.8,0.9,0.4,0.15,200,1,0.8521249359959036,6
2726,3,0.8,0.5,0.3,0.1,100,1,0.8506400409626217,7
1554,2,0.8,0.5,0.2,0.08,150,1,0.8506400409626217,8
3858,2,0.8,0.5,0.4,0.1,150,1,0.8506400409626217,9
2173,4,0.7,0.9,0.2,0.05,100,1,0.8506144393241168,10
3580,3,0.6,0.4,0.4,0.15,50,1,0.8506144393241166,11
1454,2,0.8,0.5,0.2,0.1,100,0,0.8506144393241166,12
3222,4,0.8,0.9,0.3,0.2,50,0,0.8506144393241166,13
2112,2,0.6,0.9,0.2,0.2,30,1,0.8506144393241166,14
425,3,0.7,0.5,0.1,0.08,150,1,0.8505888376856119,15
35,3,0.9,0.4,0.1,0.1,80,0,0.8505888376856119,16
2016,2,0.6,0.9,0.2,0.2,30,0,0.8505888376856119,17
1187,3,0.9,0.4,0.2,0.1,80,0,0.8505888376856119,18
2112,2,0.6,0.9,0.2,0.15,30,1,0.8505888376856119,19
4397,5,0.7,0.9,0.4,0.15,50,0,0.8505888376856119,20
2188,5,0.6,0.9,0.2,0.05,50,1,0.8505888376856119,21
3643,5,0.9,0.4,0.4,0.1,150,1,0.8505888376856119,22
2739,4,0.9,0.5,0.3,0.15,30,1,0.850563236047107,23
13,2,0.7,0.4,0.1,0.2,100,0,0.850563236047107,24
1165,2,0.7,0.4,0.2,0.2,100,0,0.850563236047107,25
112,2,0.6,0.4,0.1,0.2,150,1,0.850563236047107,26
3935,5,0.9,0.5,0.4,0.05,200,1,0.850563236047107,27
3642,5,0.8,0.4,0.4,0.2,150,1,0.850563236047107,28
1264,2,0.6,0.4,0.2,0.2,150,1,0.850563236047107,29
2113,2,0.7,0.9,0.2,0.2,30,1,0.850563236047107,30
1166,2,0.8,0.4,0.2,0.2,100,0,0.8505376344086022,31
14,2,0.8,0.4,0.1,0.2,100,0,0.8505376344086022,32
4458,3,0.8,0.9,0.4,0.15,150,1,0.8505120327700972,33
3559,2,0.9,0.4,0.4,0.15,50,1,0.8490527393753201,34
2609,2,0.7,0.5,0.3,0.05,150,0,0.8490527393753199,35
2416,2,0.6,0.4,0.3,0.08,150,1,0.8490527393753199,36
2116,2,0.6,0.9,0.2,0.15,50,1,0.8490271377368153,37
2613,2,0.7,0.5,0.3,0.05,200,0,0.849027137736815,38
3839,5,0.9,0.5,0.4,0.05,200,0,0.849027137736815,39
1554,2,0.8,0.5,0.2,0.1,150,1,0.849027137736815,40
1257,2,0.7,0.4,0.2,0.2,80,1,0.8490015360983104,41
105,2,0.7,0.4,0.1,0.2,80,1,0.8490015360983104,42
1911,5,0.9,0.6,0.2,0.08,100,1,0.8490015360983103,43
2412,2,0.6,0.4,0.3,0.1,100,1,0.8490015360983103,44
3011,3,0.9,0.6,0.3,0.1,80,1,0.8490015360983103,45
2611,2,0.9,0.5,0.3,0.08,150,0,0.8490015360983103,46
3573,2,0.7,0.4,0.4,0.15,200,1,0.8490015360983103,47
3306,3,0.8,0.9,0.3,0.15,150,1,0.8490015360983103,48
3647,5,0.9,0.4,0.4,0.1,200,1,0.8490015360983103,49
2615,2,0.9,0.5,0.3,0.05,200,0,0.8490015360983103,50
11,2,0.9,0.4,0.1,0.15,80,0,0.8490015360983103,51
2451,4,0.9,0.4,0.3,0.2,30,1,0.8490015360983103,52
3879,3,0.9,0.5,0.4,0.08,100,1,0.8490015360983103,53
