,param_max_depth,param_subsample,param_colsample_bylevel,param_colsample_bytree,param_learning_rate,param_n_estimators,param_gamma,mean_test_score,rank_test_score
21747,4,0.9,0.4,0.4,0.15,30,1,0.856989247311828,1
13080,3,0.6,0.2,0.9,0.15,30,1,0.8522273425499233,2
13176,3,0.6,0.2,0.9,0.2,30,1,0.8522017409114184,3
21720,3,0.6,0.4,0.4,0.15,30,1,0.8522017409114182,4
23470,3,0.8,0.4,0.5,0.15,200,1,0.8521505376344086,5
26926,3,0.8,0.4,0.9,0.15,200,1,0.8521249359959036,6
16454,3,0.8,0.3,0.5,0.1,100,1,0.8506400409626217,7
9426,2,0.8,0.2,0.5,0.08,150,1,0.8506400409626217,8
23346,2,0.8,0.4,0.5,0.1,150,1,0.8506400409626217,9
12829,4,0.7,0.2,0.9,0.05,100,1,0.8506144393241168,10
21724,3,0.6,0.4,0.4,0.15,50,1,0.8506144393241166,11
8942,2,0.8,0.2,0.5,0.1,100,0,0.8506144393241166,12
19542,4,0.8,0.3,0.9,0.2,50,0,0.8506144393241166,13
13152,2,0.6,0.2,0.9,0.2,30,1,0.8506144393241166,14
2537,3,0.7,0.1,0.5,0.08,150,1,0.8505888376856119,15
323,3,0.9,0.1,0.4,0.1,80,0,0.8505888376856119,16
12576,2,0.6,0.2,0.9,0.2,30,0,0.8505888376856119,17
7235,3,0.9,0.2,0.4,0.1,80,0,0.8505888376856119,18
13056,2,0.6,0.2,0.9,0.15,30,1,0.8505888376856119,19
26381,5,0.7,0.4,0.9,0.15,50,0,0.8505888376856119,20
12844,5,0.6,0.2,0.9,0.05,50,1,0.8505888376856119,21
21691,5,0.9,0.4,0.4,0.1,150,1,0.8505888376856119,22
16563,4,0.9,0.3,0.5,0.15,30,1,0.850563236047107,23
493,2,0.7,0.1,0.4,0.2,100,0,0.850563236047107,24
7405,2,0.7,0.2,0.4,0.2,100,0,0.850563236047107,25
1072,2,0.6,0.1,0.4,0.2,150,1,0.850563236047107,26
23231,5,0.9,0.4,0.5,0.05,200,1,0.850563236047107,27
21882,5,0.8,0.4,0.4,0.2,150,1,0.850563236047107,28
7984,2,0.6,0.2,0.4,0.2,150,1,0.850563236047107,29
13153,2,0.7,0.2,0.9,0.2,30,1,0.850563236047107,30
7406,2,0.8,0.2,0.4,0.2,100,0,0.8505376344086022,31
494,2,0.8,0.1,0.4,0.2,100,0,0.8505376344086022,32
26922,3,0.8,0.4,0.9,0.15,150,1,0.8505120327700972,33
21703,2,0.9,0.4,0.4,0.15,50,1,0.8490527393753201,34
15665,2,0.7,0.3,0.5,0.05,150,0,0.8490527393753199,35
14608,2,0.6,0.3,0.4,0.08,150,1,0.8490527393753199,36
13060,2,0.6,0.2,0.9,0.15,50,1,0.8490271377368153,37
15669,2,0.7,0.3,0.5,0.05,200,0,0.849027137736815,38
22655,5,0.9,0.4,0.5,0.05,200,0,0.849027137736815,39
9522,2,0.8,0.2,0.5,0.1,150,1,0.849027137736815,40
7977,2,0.7,0.2,0.4,0.2,80,1,0.8490015360983104,41
1065,2,0.7,0.1,0.4,0.2,80,1,0.8490015360983104,42
11223,5,0.9,0.2,0.6,0.08,100,1,0.8490015360983103,43
14700,2,0.6,0.3,0.4,0.1,100,1,0.8490015360983103,44
18179,3,0.9,0.3,0.6,0.1,80,1,0.8490015360983103,45
15763,2,0.9,0.3,0.5,0.08,150,0,0.8490015360983103,46
21717,2,0.7,0.4,0.4,0.15,200,1,0.8490015360983103,47
20010,3,0.8,0.3,0.9,0.15,150,1,0.8490015360983103,48
21695,5,0.9,0.4,0.4,0.1,200,1,0.8490015360983103,49
15671,2,0.9,0.3,0.5,0.05,200,0,0.8490015360983103,50
395,2,0.9,0.1,0.4,0.15,80,0,0.8490015360983103,51
14931,4,0.9,0.3,0.4,0.2,30,1,0.8490015360983103,52
23271,3,0.9,0.4,0.5,0.08,100,1,0.8490015360983103,53
11131,5,0.9,0.2,0.6,0.05,150,1,0.8490015360983103,54
7307,2,0.9,0.2,0.4,0.15,80,0,0.8490015360983103,55
12848,5,0.6,0.2,0.9,0.05,80,1,0.8489759344598055,56
12857,5,0.7,0.2,0.9,0.05,150,1,0.8489759344598055,57
7736,4,0.6,0.2,0.4,0.08,80,1,0.8489759344598055,58
983,2,0.9,0.1,0.4,0.15,200,1,0.8489759344598055,59
12900,3,0.6,0.2,0.9,0.08,100,1,0.8489759344598055,60
2562,4,0.8,0.1,0.5,0.08,150,1,0.8489759344598055,61
22651,5,0.9,0.4,0.5,0.05,150,0,0.8489759344598055,62
15782,3,0.8,0.3,0.5,0.08,100,0,0.8489759344598055,63
14843,4,0.9,0.3,0.4,0.15,80,1,0.8489759344598055,64
7895,2,0.9,0.2,0.4,0.15,200,1,0.8489759344598055,65
14317,2,0.7,0.3,0.4,0.2,100,0,0.8489759344598055,66
7880,2,0.6,0.2,0.4,0.15,80,1,0.8489759344598055,67
824,4,0.6,0.1,0.4,0.08,80,1,0.8489759344598055,68
12971,2,0.9,0.2,0.9,0.1,80,1,0.8489759344598055,69
21843,4,0.9,0.4,0.4,0.2,30,1,0.8489759344598055,70
14966,5,0.8,0.3,0.4,0.2,100,1,0.8489759344598055,71
14771,5,0.9,0.3,0.4,0.1,80,1,0.8489759344598055,72
7983,2,0.9,0.2,0.4,0.2,100,1,0.8489759344598055,73
12480,2,0.6,0.2,0.9,0.15,30,0,0.8489759344598055,74
968,2,0.6,0.1,0.4,0.15,80,1,0.8489759344598055,75
1071,2,0.9,0.1,0.4,0.2,100,1,0.8489759344598055,76
19488,2,0.6,0.3,0.9,0.2,30,0,0.8489759344598052,77
7808,3,0.6,0.2,0.4,0.1,80,1,0.8489503328213006,78
896,3,0.6,0.1,0.4,0.1,80,1,0.8489503328213006,79
1967,3,0.9,0.1,0.5,0.08,200,0,0.8489503328213006,80
275,5,0.9,0.1,0.4,0.08,80,0,0.8489503328213006,81
7187,5,0.9,0.2,0.4,0.08,80,0,0.8489503328213006,82
19433,3,0.7,0.3,0.9,0.15,150,0,0.8489503328213004,83
12899,3,0.9,0.2,0.9,0.08,80,1,0.8489503328213004,84
12275,5,0.9,0.2,0.9,0.05,80,0,0.8489503328213004,85
16076,3,0.6,0.3,0.5,0.2,200,0,0.8489247311827958,86
16391,4,0.9,0.3,0.5,0.08,200,1,0.8489247311827957,87
7740,4,0.6,0.2,0.4,0.08,100,1,0.8489247311827957,88
828,4,0.6,0.1,0.4,0.08,100,1,0.8489247311827957,89
14213,2,0.7,0.3,0.4,0.15,50,0,0.8474910394265234,90
25109,4,0.7,0.4,0.6,0.1,50,1,0.8474654377880183,91
4244,2,0.6,0.1,0.6,0.08,200,1,0.8474654377880183,92
12788,2,0.6,0.2,0.9,0.05,200,1,0.8474398361495137,93
4245,2,0.7,0.1,0.6,0.08,200,1,0.8474398361495135,94
14033,2,0.7,0.3,0.4,0.08,150,0,0.8474398361495135,95
21127,2,0.9,0.4,0.4,0.15,50,0,0.8474398361495135,96
22668,2,0.6,0.4,0.5,0.08,100,0,0.8474142345110087,97
16333,2,0.7,0.3,0.5,0.08,100,1,0.8474142345110087,98
13008,4,0.6,0.2,0.9,0.1,30,1,0.8474142345110087,99
16339,2,0.9,0.3,0.5,0.08,150,1,0.8474142345110087,100
7889,2,0.7,0.2,0.4,0.15,150,1,0.8474142345110087,101
21629,3,0.7,0.4,0.4,0.1,50,1,0.8474142345110087,102
12876,2,0.6,0.2,0.9,0.08,100,1,0.8474142345110087,103
17435,4,0.9,0.3,0.6,0.05,80,0,0.8474142345110087,104
9518,2,0.8,0.2,0.5,0.1,100,1,0.8474142345110087,105
9604,2,0.6,0.2,0.5,0.15,50,1,0.8474142345110087,106
11082,3,0.8,0.2,0.6,0.05,150,1,0.8474142345110087,107
7891,2,0.9,0.2,0.4,0.15,150,1,0.8474142345110087,108
979,2,0.9,0.1,0.4,0.15,150,1,0.8474142345110087,109
18064,2,0.6,0.3,0.6,0.08,150,1,0.8474142345110087,110
18305,4,0.7,0.3,0.6,0.15,150,1,0.8474142345110087,111
18015,4,0.9,0.3,0.6,0.05,100,1,0.8474142345110087,112
977,2,0.7,0.1,0.4,0.15,150,1,0.8474142345110087,113
21810,2,0.8,0.4,0.4,0.2,150,1,0.8474142345110087,114
2035,2,0.9,0.1,0.5,0.1,150,0,0.8474142345110087,115
19448,4,0.6,0.3,0.9,0.15,80,0,0.8474142345110087,116
